"file","name","ordinal","rva"
"winhexb64.exe","XWF_AddComment","40","0x1ad0a0"
"winhexb64.exe","XWF_AddEvent","12","0x1af2b0"
"winhexb64.exe","XWF_AddExtractedMetadata","38","0x1ad150"
"winhexb64.exe","XWF_AddSearchTerm","14","0x1af150"
"winhexb64.exe","XWF_AddToReportTable","42","0x1ad050"
"winhexb64.exe","XWF_Close","69","0x1aac10"
"winhexb64.exe","XWF_CloseContainer","28","0x1adeb0"
"winhexb64.exe","XWF_CloseEvObj","21","0x1ae2c0"
"winhexb64.exe","XWF_CopyToContainer","29","0x1add40"
"winhexb64.exe","XWF_CreateContainer","27","0x1adf30"
"winhexb64.exe","XWF_CreateEvObj","23","0x1ae300"
"winhexb64.exe","XWF_CreateFile","61","0x1ab370"
"winhexb64.exe","XWF_CreateItem","62","0x1ab1b0"
"winhexb64.exe","XWF_FindItem1","60","0x1ab670"
"winhexb64.exe","XWF_GetBlock","73","0x1aa990"
"winhexb64.exe","XWF_GetCaseProp","26","0x1aaca0"
"winhexb64.exe","XWF_GetCellText","35","0x1ad640"
"winhexb64.exe","XWF_GetColumnTitle","1","0x1afaa0"
"winhexb64.exe","XWF_GetComment","41","0x1ad060"
"winhexb64.exe","XWF_GetEvObj","19","0x1ae950"
"winhexb64.exe","XWF_GetEvObjProp","20","0x1ae4f0"
"winhexb64.exe","XWF_GetEvObjReportTableAssocs","17","0x1aea10"
"winhexb64.exe","XWF_GetEvent","11","0x1af330"
"winhexb64.exe","XWF_GetExtractedMetadata","39","0x1ad110"
"winhexb64.exe","XWF_GetFileCount","63","0x1ab170"
"winhexb64.exe","XWF_GetFirstEvObj","25","0x1ae1f0"
"winhexb64.exe","XWF_GetHashSetAssocs","46","0x1acda0"
"winhexb64.exe","XWF_GetHashValue","37","0x1ad1a0"
"winhexb64.exe","XWF_GetItemCount","64","0x1ab140"
"winhexb64.exe","XWF_GetItemInformation","52","0x1ab9b0"
"winhexb64.exe","XWF_GetItemName","57","0x1ab7c0"
"winhexb64.exe","XWF_GetItemOfs","54","0x1ab920"
"winhexb64.exe","XWF_GetItemParent","48","0x1acd10"
"winhexb64.exe","XWF_GetItemSize","56","0x1ab890"
"winhexb64.exe","XWF_GetItemType","50","0x1acac0"
"winhexb64.exe","XWF_GetLabels","45","0x1acdf0"
"winhexb64.exe","XWF_GetMetadata","34","0x1ad3b0"
"winhexb64.exe","XWF_GetMetadataEx","33","0x1ad4c0"
"winhexb64.exe","XWF_GetNextEvObj","24","0x1ae220"
"winhexb64.exe","XWF_GetProp","76","0x1aa910"
"winhexb64.exe","XWF_GetRasterImage","30","0x1ad980"
"winhexb64.exe","XWF_GetReportTableAssocs","44","0x1acf90"
"winhexb64.exe","XWF_GetReportTableInfo","18","0x1ae9a0"
"winhexb64.exe","XWF_GetSearchTerm","15","0x1af100"
"winhexb64.exe","XWF_GetSectorContents","71","0x1aab10"
"winhexb64.exe","XWF_GetSize","77","0x1aa8f0"
"winhexb64.exe","XWF_GetText","31","0x1ad870"
"winhexb64.exe","XWF_GetUserInput","9","0x1af510"
"winhexb64.exe","XWF_GetVSProp","65","0x1aaef0"
"winhexb64.exe","XWF_GetVolumeInformation","74","0x1aaa50"
"winhexb64.exe","XWF_GetVolumeName","75","0x1aa9f0"
"winhexb64.exe","XWF_GetWindow","2","0x1af6d0"
"winhexb64.exe","XWF_HideProgress","4","0x1af680"
"winhexb64.exe","XWF_Label","43","0x1acfa0"
"winhexb64.exe","XWF_ManageSearchTerm","13","0x1af1d0"
"winhexb64.exe","XWF_Mount","59","0x1ab6b0"
"winhexb64.exe","XWF_OpenEvObj","22","0x1ae240"
"winhexb64.exe","XWF_OpenItem","70","0x1aab70"
"winhexb64.exe","XWF_OutputMessage","10","0x1af400"
"winhexb64.exe","XWF_PrepareTextAccess","32","0x1ad7a0"
"winhexb64.exe","XWF_Read","68","0x1aac40"
"winhexb64.exe","XWF_ReleaseMem","3","0x1af6a0"
"winhexb64.exe","XWF_Search","16","0x1aea70"
"winhexb64.exe","XWF_SectorIO","67","0x1aac70"
"winhexb64.exe","XWF_SelectVolumeSnapshot","66","0x1aae50"
"winhexb64.exe","XWF_SetBlock","72","0x1aa9c0"
"winhexb64.exe","XWF_SetHashValue","36","0x1ad290"
"winhexb64.exe","XWF_SetItemInformation","51","0x1ac040"
"winhexb64.exe","XWF_SetItemOfs","53","0x1ab960"
"winhexb64.exe","XWF_SetItemParent","47","0x1acd40"
"winhexb64.exe","XWF_SetItemSize","55","0x1ab8d0"
"winhexb64.exe","XWF_SetItemType","49","0x1acc90"
"winhexb64.exe","XWF_SetProgressDescription","6","0x1af620"
"winhexb64.exe","XWF_SetProgressPercentage","7","0x1af610"
"winhexb64.exe","XWF_ShouldStop","5","0x1af650"
"winhexb64.exe","XWF_ShowProgress","8","0x1af5e0"
"winhexb64.exe","XWF_Unmount","58","0x1ab790"
